$GPRMC,181526.000,A,4221.1741,N,00341.2937,W,28.69,112.58,090219,,,A*43

$GPRMC,181527.000,A,4221.1711,N,00341.2841,W,28.79,113.50,090219,,,A*4F

$GPRMC,181528.000,A,4221.1683,N,00341.2745,W,28.90,112.91,090219,,,A*4A

$GPRMC,181529.000,A,4221.1651,N,00341.2648,W,29.01,114.95,090219,,,A*43

$GPRMC,181530.000,A,4221.1620,N,00341.2551,W,29.00,113.53,090219,,,A*4A

$GPRMC,181531.000,A,4221.1589,N,00341.2455,W,27.87,112.92,090219,,,A*43

$GPRMC,181532.000,A,4221.1557,N,00341.2360,W,27.48,112.37,090219,,,A*4E

$GPRMC,181533.000,A,4221.1525,N,00341.2268,W,27.21,111.71,090219,,,A*4D

$GPRMC,181534.000,A,4221.1497,N,00341.2178,W,26.65,111.08,090219,,,A*4F

$GPRMC,181535.000,A,4221.1468,N,00341.2093,W,25.44,112.47,090219,,,A*42

$GPRMC,181536.000,A,4221.1446,N,00341.2014,W,22.05,111.74,090219,,,A*43

$GPRMC,181537.000,A,4221.1427,N,00341.1949,W,19.22,112.84,090219,,,A*46

$GPRMC,181538.000,A,4221.1413,N,00341.1890,W,16.33,113.55,090219,,,A*49

$GPRMC,181539.000,A,4221.1408,N,00341.1841,W,12.65,116.62,090219,,,A*48

$GPRMC,181540.000,A,4221.1396,N,00341.1805,W,10.02,130.22,090219,,,A*45

$GPRMC,181541.000,A,4221.1377,N,00341.1785,W,8.88,152.01,090219,,,A*72
$GPRMC,181542.000,A,4221.1361,N,00341.1783,W,7.08,174.97,090219,,,A*7C
$GPRMC,181543.000,A,4221.1354,N,00341.1805,W,6.37,228.90,090219,,,A*7A
$GPRMC,181544.000,A,4221.1350,N,00341.1839,W,8.65,257.07,090219,,,A*79
$GPRMC,181545.000,A,4221.1345,N,00341.1879,W,10.35,262.31,090219,,,A*47

$GPRMC,181546.000,A,4221.1336,N,00341.1925,W,11.73,258.69,090219,,,A*4F

$GPRMC,181547.000,A,4221.1324,N,00341.1977,W,13.02,255.12,090219,,,A*4F

$GPRMC,181549.000,A,4221.1276,N,00341.2104,W,17.26,243.56,090219,,,A*4D

$GPRMC,181550.000,A,4221.1248,N,00341.2170,W,18.30,240.53,090219,,,A*45

$GPRMC,181551.000,A,4221.1219,N,00341.2235,W,19.15,239.39,090219,,,A*46

$GPRMC,181552.000,A,4221.1191,N,00341.2299,W,19.80,236.76,090219,,,A*48

$GPRMC,181553.000,A,4221.1154,N,00341.2368,W,20.79,235.13,090219,,,A*43

$GPRMC,181554.000,A,4221.1115,N,00341.2438,W,21.30,234.42,090219,,,A*4A

$GPRMC,181555.000,A,4221.1073,N,00341.2507,W,21.03,235.51,090219,,,A*44

